GMID,Dataset,Facility Name,Address,數據集,設施名稱,地址,Students Gender,就讀學生性別,Session,學校授課時間,District,分區,Finance Type,資助種類,School Level,學校類型,Telephone,聯絡電話,Fax Number,傳真號碼,Website,網頁,Religion,宗教,SCHOOL NO.,學校編號,Northing,Easting,Latitude,Longitude,Last Update
"6aSHRffp8v","Aided Primary Schools","CHRISTIAN & MISSIONARY ALLIANCE CHUI CHAK LAM MEMORIAL SCHOOL","KIN TAK STREET YUEN LONG NEW TERRITORIES","資助小學","基督教宣道會徐澤林紀念小學","新界元朗建德街","CO-ED","男女","WHOLE DAY","全日","YUEN LONG","元朗區","AIDED","資助","PRIMARY","小學","23813904","23813904","29443325","29443325","http://www.ccl.edu.hk","http://www.ccl.edu.hk","PROTESTANTISM / CHRISTIANITY","基督教","540226000123","540226000123","833548.0","821338.0","22.44128","114.03184","2019-03-27 04:00:33"
"579CzA8IIi","Aided Primary Schools","BISHOP PASCHANG CATHOLIC SCHOOL","6 WANG CHIU ROAD KOWLOON BAY KOWLOON","資助小學","天主教柏德學校","九龍九龍灣宏照道６號","CO-ED","男女","WHOLE DAY","全日","KWUN TONG","觀塘區","AIDED","資助","PRIMARY","小學","27993003","27993003","27990208","27990208","http://bpcs.edu.hk","http://bpcs.edu.hk","CATHOLICISM","天主教","543187000123","543187000123","821072.0","839460.0","22.32868","114.20786","2019-03-27 04:00:22"
"JDKEBRARWR","Aided Primary Schools","THE HONG KONG CHINESE WOMEN'S CLUB HIOE TJO YOENG PRIMARY SCHOOL","61 SAI WAN HO STREET SHAUKIWAN HONG KONG","資助小學","香港中國婦女會丘佐榮學校","香港筲箕灣西灣河街６１號","CO-ED","男女","WHOLE DAY","全日","EASTERN","東區","AIDED","資助","PRIMARY","小學","25602051","25602051","25689445","25689445","http://www.hkcwc-htyps.edu.hk","http://www.hkcwc-htyps.edu.hk","NOT APPLICABLE","不適用","514497000123","514497000123","815716.0","841025.0","22.28031","114.22303","2019-03-22 04:22:15"
"RtHy27lMT5","Aided Primary Schools","SALESIAN SCHOOL","16 CHAI WAN ROAD SHAUKEIWAN HONG KONG","資助小學","慈幼學校","香港筲箕灣柴灣道１６號","BOYS","男","WHOLE DAY","全日","EASTERN","東區","AIDED","資助","PRIMARY","小學","28850032","28850032","25689450","25689450","http://salesian.edu.hk","http://salesian.edu.hk","CATHOLICISM","天主教","513709000123","513709000123","815207.0","841706.0","22.27571","114.22964","2019-03-22 04:21:32"
"Ke4H1fLAn4","Aided Primary Schools","SHANGHAI ALUMNI PRIMARY SCHOOL","14 HONG SHING STREET KORNHILL QUARRY BAY HONG KONG","資助小學","滬江小學","香港鰂魚涌康怡花園康盛街１４號","CO-ED","男女","WHOLE DAY","全日","EASTERN","東區","AIDED","資助","PRIMARY","小學","28844775","28844775","25398088","25398088","http://www.sap.edu.hk","http://www.sap.edu.hk","NOT APPLICABLE","不適用","513822000123","513822000123","815863.0","840253.0","22.28164","114.21554","2019-03-22 04:21:19"
"sXap4ZkOiK","Aided Primary Schools","ST. MARK'S PRIMARY SCHOOL","71 CHAI WAN ROAD SHAUKEIWAN HONG KONG","資助小學","聖馬可小學","香港筲箕灣柴灣道７１號","CO-ED","男女","WHOLE DAY","全日","EASTERN","東區","AIDED","資助","PRIMARY","小學","25605677","25605677","25689581","25689581","http://www.stmarksprischool.edu.hk","http://www.stmarksprischool.edu.hk","PROTESTANTISM / CHRISTIANITY","基督教","513970000123","513970000123","815104.0","841914.0","22.27478","114.23166","2019-03-22 04:21:01"
"Vs4uALo39G","Aided Primary Schools","SHAUKIWAN TSUNG TSIN SCHOOL","3 BASEL ROAD SHAUKIWAN HONG KONG","資助小學","筲箕灣崇真學校","香港筲箕灣巴色道３號","CO-ED","男女","WHOLE DAY","全日","EASTERN","東區","AIDED","資助","PRIMARY","小學","25606272","25606272","25689410","25689410","http://www.skwtts.edu.hk","http://www.skwtts.edu.hk","PROTESTANTISM / CHRISTIANITY","基督教","513857000123","513857000123","815884.0","841860.0","22.28182","114.23114","2019-03-22 04:20:52"
"fsz0vu7vS5","Aided Primary Schools","SAN WUI COMMERCIAL SOCIETY SCHOOL","1 KUI IN FONG SHEUNG WAN HONG KONG","資助小學","新會商會學校","香港上環居賢坊１號","CO-ED","男女","WHOLE DAY","全日","CENTRAL AND WESTERN","中西區","AIDED","資助","PRIMARY","小學","25465712","25465712","25405830","25405830","http://www.swcss.edu.hk","http://www.swcss.edu.hk","NOT APPLICABLE","不適用","513750000123","513750000123","816128.0","833381.0","22.28403","114.14886","2019-03-22 04:20:36"
"RWC1k4JIMf","Aided Primary Schools","ST. BONAVENTURE CATHOLIC PRIMARY SCHOOL","FUNG LAI ROAD FUNG TAK ESTATE DIAMOND HILL KOWLOON","資助小學","聖文德天主教小學","九龍鑽石山鳳德邨鳳禮道","CO-ED","男女","WHOLE DAY","全日","WONG TAI SIN","黃大仙區","AIDED","資助","PRIMARY","小學","23202727","23202727","23201000","23201000","http://www.sbcps.edu.hk","http://www.sbcps.edu.hk","CATHOLICISM","天主教","514004000123","514004000123","822861.0","838854.0","22.34484","114.20198","2019-03-22 04:20:25"
"p2ltLQMQGX","Aided Primary Schools","ST. PETER'S CATHOLIC PRIMARY SCHOOL","PHASE 2 LEI TUNG ESTATE AP LEI CHAU HONG KONG","資助小學","聖伯多祿天主教小學","香港鴨脷洲利東邨第二期","CO-ED","男女","WHOLE DAY","全日","SOUTHERN","南區","AIDED","資助","PRIMARY","小學","28748311","28748311","28748658","28748658","http://www.spcps.edu.hk","http://www.spcps.edu.hk","CATHOLICISM","天主教","514233000123","514233000123","811508.0","834173.0","22.24231","114.15655","2019-03-22 04:20:14"
